X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
997;550;0.5196057;0.5094377;0.5153508;0.4223697;677.5;0.2080109;False;12/21/2025 10:50:19 PM:526;1766332219526;;
997;544;0.5196314;0.5039207;0.5241315;0.4376314;676.9;0.208161;False;12/21/2025 10:50:19 PM:559;1766332219559;;
997;539;0.5196544;0.4993064;0.524182;0.4375594;676.4;0.2082345;False;12/21/2025 10:50:19 PM:594;1766332219594;;
986;523;0.5139094;0.4844659;0.4683882;0.3757881;678.4;0.2117078;False;12/21/2025 10:50:19 PM:630;1766332219630;;
969;523;0.5049954;0.4847657;0.4464836;0.4936199;678.1;0.2049952;False;12/21/2025 10:50:19 PM:665;1766332219665;;
958;523;0.499014;0.4849775;0.4464894;0.4934129;677.7;0.205208;False;12/21/2025 10:50:19 PM:697;1766332219697;;
957;452;0.498706;0.4190904;0.4840467;0.2147258;679.9;0.2222444;False;12/21/2025 10:50:19 PM:733;1766332219733;;
957;425;0.4986739;0.3941249;0.4900638;0.2632518;681.8;0.2224792;False;12/21/2025 10:50:19 PM:765;1766332219765;;
949;427;0.4946758;0.3962562;0.4499403;0.4398578;684.2;0.2097814;False;12/21/2025 10:50:19 PM:799;1766332219799;;
944;429;0.4918069;0.3978263;0.449942;0.4397882;686.2;0.2098843;False;12/21/2025 10:50:19 PM:831;1766332219831;;
944;363;0.4917915;0.3364712;0.491224;0.1438457;686.1;0.2220327;False;12/21/2025 10:50:19 PM:865;1766332219865;;
944;333;0.4917296;0.3090973;0.4872788;0.1814255;685.9;0.2223986;False;12/21/2025 10:50:19 PM:898;1766332219898;;
943;409;0.4911509;0.379185;0.4692631;0.6014642;686.5;0.2320125;False;12/21/2025 10:50:19 PM:932;1766332219932;;
943;467;0.4911731;0.4327611;0.4920026;0.618757;687.0;0.2323125;False;12/21/2025 10:50:19 PM:966;1766332219966;;
942;498;0.4906268;0.4612817;0.4692647;0.6014637;687.5;0.2320165;False;12/21/2025 10:50:19 PM:998;1766332219998;;
941;486;0.49018;0.4508334;0.4693401;0.3564603;689.4;0.2168852;False;12/21/2025 10:50:20 PM:30;1766332220030;;
937;487;0.4884053;0.4509325;0.4533511;0.4553838;688.1;0.2224126;False;12/21/2025 10:50:20 PM:63;1766332220063;;
934;487;0.4869606;0.4510162;0.4533614;0.4554273;687.0;0.2222959;False;12/21/2025 10:50:20 PM:96;1766332220096;;
934;444;0.4868205;0.4118221;0.4803319;0.2450941;687.7;0.214255;False;12/21/2025 10:50:20 PM:130;1766332220130;;
934;420;0.48675;0.3889545;0.4748338;0.2563197;688.4;0.2148279;False;12/21/2025 10:50:20 PM:163;1766332220163;;
934;390;0.4866373;0.3618343;0.4783573;0.2262949;693.3;0.2092799;False;12/21/2025 10:50:20 PM:200;1766332220200;;
934;372;0.4865555;0.3444868;0.4783361;0.2261259;697.6;0.2098627;False;12/21/2025 10:50:20 PM:232;1766332220232;;
931;380;0.4853864;0.3519666;0.4559321;0.4210797;701.8;0.215782;False;12/21/2025 10:50:20 PM:267;1766332220267;;
929;398;0.4838603;0.3690154;0.4504077;0.4761313;705.5;0.2161563;False;12/21/2025 10:50:20 PM:301;1766332220301;;
929;363;0.4841146;0.336219;0.4894755;0.1873794;701.9;0.1954873;False;12/21/2025 10:50:20 PM:336;1766332220336;;
929;335;0.4842605;0.3104258;0.4882767;0.1767616;698.7;0.196055;False;12/21/2025 10:50:20 PM:370;1766332220370;;
930;319;0.4845359;0.2962771;0.4915434;0.1974332;700.7;0.2140083;False;12/21/2025 10:50:20 PM:406;1766332220406;;
930;308;0.4847592;0.2856497;0.4915279;0.1973147;702.5;0.2143638;False;12/21/2025 10:50:20 PM:445;1766332220445;;
929;314;0.484058;0.2914771;0.4655891;0.3453995;702.9;0.2179084;False;12/21/2025 10:50:20 PM:488;1766332220488;;
927;322;0.4830996;0.2983298;0.4596458;0.3650922;703.3;0.219163;False;12/21/2025 10:50:20 PM:526;1766332220526;;
926;323;0.4826698;0.2994129;0.4636923;0.3299908;704.2;0.2151879;False;12/21/2025 10:50:20 PM:562;1766332220562;;
926;306;0.4827515;0.2840952;0.4853875;0.1857088;706.4;0.2123744;False;12/21/2025 10:50:20 PM:599;1766332220599;;
926;297;0.4827324;0.2756988;0.4815002;0.1967797;708.4;0.2127115;False;12/21/2025 10:50:20 PM:634;1766332220634;;
927;284;0.4828477;0.2636948;0.4873607;0.1670388;709.2;0.206421;False;12/21/2025 10:50:20 PM:669;1766332220669;;
927;278;0.4828753;0.2577346;0.4847523;0.1827103;709.9;0.2069887;False;12/21/2025 10:50:20 PM:701;1766332220701;;
924;322;0.4816914;0.2987906;0.4571792;0.4530847;711.3;0.2013761;False;12/21/2025 10:50:20 PM:737;1766332220737;;
923;350;0.4808159;0.3248079;0.4571399;0.4529761;712.6;0.2018812;False;12/21/2025 10:50:20 PM:769;1766332220769;;
920;445;0.4791878;0.4124754;0.4489558;0.6238605;711.6;0.2058057;False;12/21/2025 10:50:20 PM:808;1766332220808;;
915;501;0.4766468;0.4646917;0.4370972;0.6320581;710.7;0.2053007;False;12/21/2025 10:50:20 PM:842;1766332220842;;
914;541;0.4762588;0.5015031;0.4543526;0.6348985;711.4;0.208178;False;12/21/2025 10:50:20 PM:877;1766332220877;;
913;573;0.4758709;0.5307382;0.4543661;0.6349023;712.1;0.2080819;False;12/21/2025 10:50:20 PM:926;1766332220926;;
913;606;0.4757535;0.5615698;0.4633419;0.6876399;714.5;0.2180568;False;12/21/2025 10:50:20 PM:963;1766332220963;;
913;627;0.4756497;0.5805925;0.4638171;0.681072;722.9;0.2106007;False;12/21/2025 10:50:20 PM:999;1766332220999;;
913;639;0.4755697;0.5924441;0.4640505;0.6791298;730.5;0.2112057;False;12/21/2025 10:50:21 PM:32;1766332221032;;
911;640;0.4749187;0.5929319;0.4493615;0.6079069;731.5;0.225962;False;12/21/2025 10:50:21 PM:66;1766332221066;;
910;640;0.4743586;0.5930378;0.448767;0.5994477;732.4;0.2263111;False;12/21/2025 10:50:21 PM:99;1766332221099;;
908;640;0.4729634;0.5930507;0.4414256;0.5943022;733.9;0.1896271;False;12/21/2025 10:50:21 PM:146;1766332221146;;
907;640;0.4727173;0.5930453;0.4493231;0.5885843;735.3;0.1876689;False;12/21/2025 10:50:21 PM:183;1766332221183;;
907;573;0.4726787;0.531003;0.4717817;0.3380443;736.8;0.1857832;False;12/21/2025 10:50:21 PM:220;1766332221220;;
907;531;0.4726797;0.4919639;0.4727088;0.3380862;738.3;0.1863267;False;12/21/2025 10:50:21 PM:256;1766332221256;;
907;543;0.4726407;0.5032844;0.4582919;0.6006888;740.4;0.2123917;False;12/21/2025 10:50:21 PM:290;1766332221290;;
907;550;0.4724528;0.5092724;0.4544773;0.5860559;742.3;0.2128337;False;12/21/2025 10:50:21 PM:325;1766332221325;;
906;568;0.4723924;0.5259524;0.4607137;0.6470309;742.3;0.222932;False;12/21/2025 10:50:21 PM:359;1766332221359;;
906;579;0.4723116;0.5365217;0.462432;0.6376619;739.6;0.2086152;False;12/21/2025 10:50:21 PM:395;1766332221395;;
906;585;0.4722416;0.5424249;0.4630091;0.6275762;737.3;0.2089623;False;12/21/2025 10:50:21 PM:428;1766332221428;;
